小学,小學,xiǎoxué,primary school,None,
得,得,dé,get; obtain; win,None,
世界,世界,shìjiè,world,None,
地图,地圖,dìtú,map; plat; atlas,None,
轮,輪,lún,take turns,None,
烧,燒,shāo,boil; burn,None,
洗澡,洗澡,xǐzǎo,have a bath,None,
围,圍,wéi,wrap; swathe,None,
浴巾,浴巾,yùjīn,bath towel,None,
浴室,浴室,yùshì,bathroom,None,
冲,沖,chōng,rush,None,
叫,叫,jiào,shout; cry,None,
干,幹,gàn,do; work,None,
火,火,huǒ,fire,None,
灭,滅,miè,"(of a light, fire, etc.) go out",None,
讨厌,討厭,tǎoyàn,dislike,None,
小声,小聲,xiǎoshēng,in a low voice,None,
巴掌,巴掌,bāzhang,palm; slap,None,
一辈子,一輩子,yíbèizi,all one's life; throughout one's life,None,
了,了,liǎo,used after a verb with 得/不 to express possibility or impossibility,None,
敢,敢,gǎn,dare,None,
继续,繼續,jìxù,continue; go on,None,
明信片,明信片,míngxìnpiàn,postcard; lettercard,None,
面前,面前,miànqián,in front of,None,
金字塔,金字塔,jīnzìtǎ,pyramid,None,
记得,記得,jìde,remember,None,
小时候,小時候,xiǎoshíhou,childhood,None,
灵,靈,líng,effective,None,
小子,小子,xiǎozi,boy; chap; guy,None,
埃及,埃及,Āijí,Egypt,None,
