时刻,時刻,shíkè,hour; moment; occasion,,
一刻,一刻,yíkè,a moment; a little while,,
改变,改變,gǎibiàn,change,,
紧张,緊張,jǐnzhāng,intense; tense; keyed up,,
高考,高考,gāokǎo,college entrance examination,,
心情,心情,xīnqíng,mood; state of mind,,
班主任,班主任,bānzhǔrèn,teacher in charge of a class,,
同样,同樣,tóngyàng,same,,
特殊,特殊,tèshū,special,,
可爱,可愛,kě'ài,lovable; likable,,
游戏,遊戲,yóuxì,game,,
发,發,fā,hand out,,
数字,數字,shùzì,number,,
表示,表示,biǎoshì,show; express; indicate,,
纪念品,紀念品,jìniànpǐn,souvenir; keepsake,,
美丽,美麗,měilì,beautiful,,
耳朵,耳朵,ěrduo,ear,,
不如,不如,bùrú,be inferior to,,
微笑,微笑,wēixiào,smile,,
额头,額頭,étóu,forehead,,
轻,輕,qīng,light; gentle,,
吻,吻,wěn,kiss,,
响,響,xiǎng,sound,,
热烈,熱烈,rèliè,warm; enthusiastic,,
掌声,掌聲,zhǎngshēng,applause,,
幸福,幸福,xìngfú,happy,,
激动,激動,jīdòng,be excited,,
眼泪,眼淚,yǎnlèi,tear,,
