旧梦,舊夢,jiùmèng,old dream; past experience,,
闭,閉,bì,shut; close,,
往事,往事,wǎngshì,bygones; past events,,
进入,進入,jìnrù,enter; get into,,
梦,夢,mèng,dream,,
一生,一生,yìshēng,all one's life; a lifetime,,
中,中,zhōng,in,,
难忘,難忘,nánwàng,unforgettable; memorable,,
老年,老年,lǎonián,old age,,
忘记,忘記,wàngjì,forget,,
同事,同事,tóngshì,colleague,,
有时,有時,yǒushí,sometimes,,
出现,出現,chūxiàn,appear,,
比,比,bǐ,than; (superior or inferior) to,,
矮,矮,ǎi,short (of stature),,
双,雙,shuāng,pair,,
年级,年級,niánjí,"grade; year (in school, etc.)",,
年龄,年齡,niánlíng,"age (of a person, animal or plant, etc.)",,
马路,馬路,mǎlù,road; street,,
领,領,lǐng,lead; usher; take,,
照顾,照顧,zhàogù,take care of; look after,,
拉手,拉手,lā (shǒu),hold (hands),,
使劲儿,使勁兒,shǐ jìnr,exert oneself (physically),,
亲,親,qīn,kiss,,
告别,告別,gàobié,say goodbye to; part from,,
飞吻,飛吻,fēiwěn,kiss one's hand to; blow a kiss,,
刚刚,剛剛,gānggāng,just; no more than,,
爱情,愛情,àiqíng,love (between a man and a woman),,
并,並,bìng,"used before a negative for emphasis, usu. as a retort",,
初恋,初戀,chūliàn,first love,,
活,活,huó,live; be alive,,
打听,打聽,dǎtīng,ask about; inquire about,,
消息,消息,xiāoxi,news; information,,
广东话,廣東話,Guǎngdōnghuà,Cantonese; a Chinese dialect,,
